Category,Value,Count,Percentage
Total Contacts,68,68,100%
Countries,18,18,100%
Organization Types,8,8,100%
Sources,2,2,100%
Active Status,68,68,100%
Inactive Status,0,0,0%
Pending Verification,0,0,0%
Religious Community,25,25,37%
Cultural Center,8,8,12%
Charity Foundation,6,6,9%
Educational Institution,5,5,7%
International Organization,6,6,9%
Youth Organization,3,3,4%
Professional Union,2,2,3%
Social Services,1,1,1%
Memorial Organization,1,1,1%
United States,20,20,29%
Israel,4,4,6%
Germany,4,4,6%
United Kingdom,4,4,6%
Canada,4,4,6%
Australia,4,4,6%
France,3,3,4%
Russia,3,3,4%
Argentina,2,2,3%
Brazil,2,2,3%
South Africa,2,2,3%
Spain,2,2,3%
Italy,2,2,3%
Ukraine,1,1,1%
Netherlands,1,1,1%
Mexico,1,1,1%
Chile,1,1,1%
Poland,1,1,1%
Hungary,1,1,1%
Czech Republic,1,1,1%
Belgium,1,1,1%


